saga_id,order_id,step_number,step_name,command_type,status,started_at,completed_at,duration_ms
order-bb6acfa5,order-bb6acfa5,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-bb84bf5a,order-bb84bf5a,1,OrderCreationFailed,compensation,completed,2025-09-15 10:07:39,2025-09-15 10:07:39,0.0
order-bbe0c429,order-bbe0c429,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-bbfa3bf3,order-bbfa3bf3,1,OrderCreated,forward,completed,2025-09-15 10:07:53,2025-09-15 10:07:53,0.0
order-be97f745,order-be97f745,1,OrderCreated,forward,completed,2025-09-15 10:08:02,2025-09-15 10:08:02,0.0
order-bed98fd4,order-bed98fd4,1,OrderCreated,forward,completed,2025-09-15 10:08:01,2025-09-15 10:08:01,0.0
order-bfedf6c3,order-bfedf6c3,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-c01cab5c,order-c01cab5c,1,OrderCreated,forward,completed,2025-09-15 10:07:55,2025-09-15 10:07:55,0.0
order-c07f2c01,order-c07f2c01,1,OrderCreationFailed,compensation,completed,2025-09-15 10:07:38,2025-09-15 10:07:38,0.0
order-c151a032,order-c151a032,1,OrderCreated,forward,completed,2025-09-15 10:08:03,2025-09-15 10:08:03,0.0
order-c3305194,order-c3305194,1,OrderCreated,forward,completed,2025-09-15 10:07:57,2025-09-15 10:07:57,0.0
order-c4be1eca,order-c4be1eca,1,OrderCreated,forward,completed,2025-09-15 10:07:58,2025-09-15 10:07:58,0.0
order-c5a616dd,order-c5a616dd,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-c660ef93,order-c660ef93,1,OrderCreated,forward,completed,2025-09-15 10:08:02,2025-09-15 10:08:02,0.0
order-c8c5eb16,order-c8c5eb16,1,OrderCreated,forward,completed,2025-09-15 10:08:00,2025-09-15 10:08:00,0.0
order-cb840ddd,order-cb840ddd,1,OrderCreated,forward,completed,2025-09-15 10:08:01,2025-09-15 10:08:01,0.0
order-cc789fbe,order-cc789fbe,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-ccd5a9c1,order-ccd5a9c1,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-cd618a0d,order-cd618a0d,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-cded7adb,order-cded7adb,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-ced05074,order-ced05074,1,OrderCreated,forward,completed,2025-09-15 10:08:01,2025-09-15 10:08:01,0.0
order-cf5038e2,order-cf5038e2,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-cfb04afb,order-cfb04afb,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-d108384d,order-d108384d,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-d1d119f1,order-d1d119f1,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-d1fcf670,order-d1fcf670,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-d9ad3d80,order-d9ad3d80,1,OrderCreationFailed,compensation,completed,2025-09-15 10:07:34,2025-09-15 10:07:34,0.0
order-d9ea148d,order-d9ea148d,1,OrderCreated,forward,completed,2025-09-15 10:07:57,2025-09-15 10:07:57,0.0
order-da7400fd,order-da7400fd,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-dc76f393,order-dc76f393,1,OrderCreated,forward,completed,2025-09-15 10:07:38,2025-09-15 10:07:38,0.0
order-dd70747f,order-dd70747f,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-e01cf305,order-e01cf305,1,OrderCreated,forward,completed,2025-09-15 10:07:53,2025-09-15 10:07:53,0.0
order-e10bb68a,order-e10bb68a,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-e2fe8101,order-e2fe8101,1,OrderCreated,forward,completed,2025-09-15 10:07:59,2025-09-15 10:07:59,0.0
