saga_id,order_id,step_number,step_name,command_type,status,started_at,completed_at,duration_ms
order-6dc48819,order-6dc48819,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:41.234504,2025-09-20 06:56:41.234504,0.0
order-6dce6948,order-6dce6948,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:46.347697,2025-09-20 06:58:46.347697,0.0
order-6ddb0f76,order-6ddb0f76,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:36.640891,2025-09-20 06:58:36.640891,0.0
order-6de294ca,order-6de294ca,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:01.293203,2025-09-20 06:56:01.293203,0.0
order-6de777b0,order-6de777b0,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:59.568486,2025-09-20 06:58:59.568486,0.0
order-6df3469c,order-6df3469c,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:59.911298,2025-09-20 06:58:59.911298,0.0
order-6dfc5cc6,order-6dfc5cc6,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:03.145427,2025-09-20 06:58:03.145427,0.0
order-6dfecfb8,order-6dfecfb8,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:55.041293,2025-09-20 06:58:55.041293,0.0
order-6e00f391,order-6e00f391,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:57.551853,2025-09-20 06:56:57.551853,0.0
order-6e0aad81,order-6e0aad81,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:55:54.076364,2025-09-20 06:55:54.076364,0.0
order-6e0ac48e,order-6e0ac48e,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:11.319291,2025-09-20 06:57:11.319291,0.0
